en,ar,de,es,fr,el,in,it,nl,pl,pt,ru
Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox
All apps,كل التطبيقات,Alle Anwendungen,Todas las aplicaciones,Toutes les applications,Όλες οι εφαρμογές,Semua Aplikasi,Tutte le applicazioni,Alle apps,Wszystkie aplikacje,Todas as aplicações,Все приложения
Browser,متصفح,Browser,Navegador,Navigateur,Περιήγηση,Peramban,Browser,Browser,Przeglądarka,Browser,Браузер
Email,رسالة الكترونية,E-Mail,Correo electrónico,Courriel,Ηλεκτρονική διεύθυνση,Email,Invia un'e-mail a,E-mail,E-mail,Email,Email
File manager ,مدير الملفات,Datei-Manager ,Gestor de archivos ,Gestionnaire de fichiers ,Διαχείριση αρχείων,Pengelola Berkas,File manager ,Bestandsmanager ,Menedżer plików,Gestor de ficheiros ,Менеджер файлов 
Help ,مساعدة,Hilfe ,Ayuda ,Aide ,Βοήθεια,Bantuan,Aiuto ,Help ,Pomoc,Ajuda ,Помощь 
Music,موسيقى,Musik,Música,Musique,Μουσική,Musik,Musica,Muziek,Muzyka,Música,Музыка
Run ,ينفذ (يشغل),Führen Sie  aus. ,Corre ,Courir ,Εκτέλεση,Jalankan,Esegui ,Voer de campagne  uit. ,Uruchom,Corre ,Запустить 
Terminal,طرفية,Terminal,Terminal,Terminal,Τερματικό,Terminal,Terminale,Terminal,Terminal,Terminal,Терминал
Appearance,المظهر,Siehe,Mira,Regardez,Εμφάνιση,Tampilan,Guarda,Verschijning,Wygląd,Veja,Посмотреть
Conky,كونكي,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Конки
Docks,دوك,Docks,Muelles,Docks,Docks,Docks,Darsene,Dokken,Doki,Docas,Доки
Default,افتراضي,Standardmäßig,Por defecto,Par défaut,Προκαθορισμένο,Setelan Bawaan,Predefinito,Standaard,Domyślny,Por defeito,По умолчанию
Dockmaker,صانع الدوك,Dockmaker,Dockmaker,Dockmaker,Dockmaker,DockMaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Докмейкер
Desktop icons,ايقونات سطح المكتب,Desktop-Symbole,Iconos de escritorio,Icônes de bureau,Εικονίδια επιφάνειας εργασίας,Ikon Desktop,Icone da tavolo,Bureaupictogrammen,Ikony pulpitu,Ícones do ambiente de trabalho,Иконки рабочего стола
Monitors,شاشات,Überwacht,Monitores,Surveille,Έλεγχος,Layar,Monitor,Monitoren,Monitory,Monitores,Мониторы
Style,اسلوب /مظهر,Stil,Estilo,Style,Στυλ,Gaya,Stile,Stijl,Styl,Estilo,Стиль
Theme,مظهر النوافد والايقونات,Thema,Tema,Thème,Θέμα,Tema,Tema,Thema,Motyw,Tema,Тема
Toolbar,شريط المهام,Symbolleiste,Barra de herramientas,Barre d'outils,Γραμμή εργαλείων,Bilah Alat,Barra degli strumenti,Werkbalk,Pasek narzędzi,Barra de ferramentas,Панель инструментов
Legacy,ميراث(طريقة لتشغيل النظام),Vermächtnis,Legado,Héritage,Κληρονομιά,Legacy,Eredità,Legacy,Starsza wersja,Legado,Наследие
User last,قائمة المستخدمين,Benutzer zuletzt,El último usuario,Dernier utilisateur,Προηγούμενο,Pemakai Terakhir,Ultimo utente,De gebruiker blijft,Ostatnie ustawienie użytkownika,Último utilizador,Последний пользователь
Wallpaper,خلفية سطح المكتب,Bildschirmhintergrund,Fondo de pantalla,Fond d'écran,Ταπετσαρία,Wallpaper,Carta da parati,Behang,Tapeta,Wallpaper,Обои
Settings,اعدادات,Einstellungen,Ajustes,Paramètres,Ρυθμίσεις,Setelan,Impostazioni,Instellingen,Ustawienia,Definições,Настройки
Configure,تخصيص,Konfigurieren Sie,Configurar,Configurer,Διαμόρφωση,Konfigurasi,Configurare,Configureer,Konfiguracja,Configurar,Настройка
Apps,التطبيقات,Anwendungen,Aplicaciones,Apps,Εφαρμογές,Aplikasi,Applicazioni,Apps,Aplikacje,Apps,Приложения
Init,بدأ,Init,Init,Init,Init,Init,Init,Init,Init,Init,Ините
Keys,مفاتيح,Schlüssel,Llaves,Clés,Keys,Tombol,Tasti,Toetsen,Skróty klawiszowe,Chaves,Ключи
Menu,قائمة,Menü,Menú,Menu,Μενού,Menu,Menu,Menu,Menu,Menu,Меню
Overlay,غطاء,Überlagerung,Superposición,Superposition,Επικάλυμμα,Lembaran Atas,Sovrapposizione,Overlay,Nakładka graficzna,Overlay,Наложение
Startup,بداية التشغيل,Neugründung,Inicio,Startup,Startup,Memulai ,Avvio,Opstarten,Autostart,Arranque,Запуск
Styles,مظاهر / الاساليب,Stile,Estilos,Styles,Στυλ,Gaya,Stili,Stijlen,Style,Estilos,Стили
Keyboard,لوحة المفاتيح,Tastatur,Teclado,Clavier,Πληκτρολόγιο,Papan Ketik,Tastiera,Toetsenbord,Klawiatura,Teclado,Клавиатура
Traditional look,مظهر تقليدي,Traditionelles Aussehen,Aspecto tradicional,Aspect traditionnel,Παραδοσιακή εμφάνιση,Tampilan Tradisional,Look tradizionale,Traditionele uitstraling,Domyślny wygląd,Aspecto tradicional,Традиционный вид
"Window, slit, toolbar"نافذة , شق/فتحه, شريط المهام"Fenster, Schlitz, Symbolleiste","Ventana, rendija, barra de herramientas","Fenêtre, fente, barre d'outils","Παράθυρο, σχισμή, γραμμή εργαλείων","Jendela, Celah, Bilah Alat","Finestra, fessura, barra degli strumenti",Venster, spleet, werkbalk,"Окно, щель, панель инструментов"
Out of sight,خارج النظر /النطاف,Außer Sichtweite,Fuera de la vista,A l'abri des regards,Κρυμμένα,Diluar Pandangan,Lontano dagli occhi,Uit het zicht,Ukryj,Fora de vista,С глаз долой
Kill dock            ,اوقف الدوك,Killdock            ,Muelle de la muerte            ,Quai d'extinction            ,Τερματισμός dock,Matikan Dock,Kill dock            ,Dodendok            ,Zabij dock,Cais da matança            ,док-убийца            
Kill a window        ,اوقف النافذة,Ein Fenster töten        ,Matar una ventana        ,Tuer une fenêtre        ,Τερματισμός παραθύρου,Matikan Jendela,Uccidere una finestra        ,Dood een venster        ,Zabij okno,Matar uma janela        ,Убить окно        
Toggle conky         ,يبدل الكونكي,Umschalten conky         ,Cambiar conky...         ,Toggle conky         ,Εναλλαγή conky         ,Tombol Conky,Attivare e disattivare il conky         ,Schakelen tussen conky         ,Przełącznik Conky,Alternar conky         ,Тугл-конки         
Toggle iDesk         ,يبدل ال iDesk,iDesk umschalten         ,Cambiar el iDesk         ,Basculer l'iDesk         ,Εναλλαγή iDesk         ,Tombol iDesk,Attivare e disattivare l'iDesk         ,Schakel iDesk         ,Przełącznik iDesk,Toggle iDesk         ,Toggle iDesk         
Toggle icons         ,يبدل ايقونات,Symbole umschalten         ,Iconos de conmutación         ,Icônes de basculement         ,Εναλλαγή εικονιδίων       ,Tombol ikon,Icone a levetta         ,Schakelen tussen pictogrammen         ,Przełącznik ikon pulpitu,Alternar ícones         ,переключающиеся иконки         
Toggle autohide dock ,بدل الدوك ذات الاختفاء الذاتي,Autohide-Dock umschalten ,Cambiar el muelle de auto-ocultación ,Basculer le quai autohide ,Εναλλαγή autohide dock ,Tombol sembunyikan otomatis dock,Attivare il dock autohide ,Schakelaar voor autodokker ,Przełącznik autoukrywania docku,Alternar a doca de autoculto ,Тоггл-автохидный док 
Toggle autohide toolbar,بدل قائمة المهام ذات الاختفاء التلقائي,Umschalten der Autohide-Werkzeugleiste,Cambiar la barra de herramientas de auto-ocultación,Barre d'outils de masquage automatique,Εναλλαγή autohide toolbar,Tombol sembunyikan otomatis bilah alat,Attivare e disattivare la barra degli strumenti autohide,Schakel de autohide-werkbalk in,Przełącznik autoukrywania paska narzędzi,Alternar a barra de ferramentas de autoculto,Переключить автоматическую панель инструментов
Toggle monitors      ,غير الشاشات,Monitore umschalten      ,Cambiar los monitores...      ,Basculer les moniteurs      ,Εναλλαγή monitors      ,Tombol monitor,Monitor a levetta      ,Schakelen tussen de monitoren      ,Przełącznik monitorów,Monitores Toggle      ,Тумблерные мониторы      
Disable default dock ,غير الدوك الافتراضيه,Standard-Dock deaktivieren ,Deshabilitar el acoplamiento por defecto ,Désactiver le dock par défaut ,Απενεργοποίηση προεπιλεγμένο dock ,Matikan setelan bawaan dock,Disattivare il dock di default ,Standaard dok uitschakelen ,Wyłącz domyślny dock,Desactivar a doca por defeito ,Отключить стандартную док-станцию 
Leave,اترك,Verlassen Sie,Deje,Quitter,Εξοδος,Meninggalkan,Lascia,Verlaat,Wyjdź,Sair,Оставить
Refresh,انعش,Aktualisieren Sie,Actualizar,Rafraîchir,Ανανέωση,Segarkan,Aggiorna,Vernieuwen,Odśwież,Actualização,Обновить
Suspend,تعليق/ وضع النوم,aussetzen,Suspender,Suspendre,Αναστολή,Suspend,Sospendi,Schorsen,Wstrzymaj,Suspendam,Приостановить
Logout,سجل الخروج,Abmeldung,Cierre de sesión,Déconnexion,Αποσύνδεση,Keluar,Logout,Uitloggen,Wyloguj,Sair,Выход из системы
Reboot,اعد تشغيل,Neustart,Reiniciar,Redémarrer,Επανεκκινήση,Mulai ulang,Riavvio,Herstart,Uruchom ponownie,Reinicialização,Перезагрузить
Shutdown,اطفئ,Herunterfahren,Apagado,Fermeture,Τερματισμός,Matikan,Spegnimento,Uitschakeling,Zamknij,Encerramento,Отключение
